mass,961.9
size,293.8,204.1,326.1
Average Velocity,15.43
Velocity Stdev,8.473
Straight Factor,0.00598
Frame Z Position Stdev,0.59


Time(s),Path(x),Path(y),Path(z),Pos(x),Pos(y),Pos(z),force(x),force(y),force(z)
14.55,-1.061,-0.09585,-0.2571,-1.414,0.0005192,0.261,-0.0294,0.0004737,0.2893
14.57,-0.9825,-0.09135,-0.257,-1.418,0.0005106,0.2611,-0.0278,-0.0005873,0.2857
14.6,-0.9039,-0.08671,-0.2569,-1.423,0.0005112,0.2611,-0.02646,-0.001036,0.2803
14.63,-0.8252,-0.08191,-0.2569,-1.428,0.0005242,0.2611,-0.02505,-0.001222,0.2744
14.65,-0.7466,-0.07679,-0.2565,-1.434,0.0005113,0.2609,-0.02315,-0.001282,0.2677
14.68,-0.668,-0.07182,-0.256,-1.439,0.0004823,0.2606,-0.02126,-0.001297,0.2604
14.7,-0.5892,-0.06712,-0.2554,-1.444,0.0004817,0.2601,-0.01938,-0.001308,0.2535
14.72,-0.5103,-0.0625,-0.2546,-1.449,0.0004785,0.2594,-0.01749,-0.00206,0.268
14.75,-0.4316,-0.05938,-0.2545,-1.452,0.0004875,0.2594,-0.01387,-0.002978,0.2747
14.78,-0.353,-0.05813,-0.2545,-1.454,0.0005092,0.2597,-0.009602,-0.003473,0.2746
14.8,-0.2744,-0.05757,-0.2545,-1.454,0.0005289,0.2598,-0.00588,-0.003581,0.2617
14.82,-0.1958,-0.05756,-0.2545,-1.454,0.0005459,0.2598,-0.003498,-0.003332,0.2448
14.85,-0.1174,-0.05765,-0.2545,-1.454,0.0005721,0.2595,-0.0009881,-0.003301,0.2365
14.88,-0.03902,-0.0574,-0.2541,-1.455,0.0005406,0.2592,0.00167,-0.003335,0.2305
14.9,0.03912,-0.0571,-0.2534,-1.455,0.0005188,0.2589,0.004439,-0.003234,0.2256
14.93,0.1173,-0.05678,-0.2523,-1.456,0.0005079,0.2587,0.008545,-0.003023,0.2193
14.95,0.1953,-0.0566,-0.2509,-1.458,0.0005121,0.2589,0.01415,-0.002736,0.2044
14.97,0.2731,-0.05707,-0.2495,-1.46,0.0005108,0.2592,0.01383,-0.002366,0.1782
15,0.3511,-0.05837,-0.2479,-1.463,0.0005082,0.2595,0.01324,-0.001987,0.1527
15.03,0.4292,-0.06048,-0.2464,-1.467,0.0005268,0.2598,0.01211,-0.001564,0.1274
15.05,0.5073,-0.06347,-0.2449,-1.471,0.000524,0.2602,0.01156,-0.00127,0.1116
15.07,0.585,-0.0672,-0.2433,-1.476,0.0005229,0.2605,0.01181,-0.001244,0.09952
15.1,0.6631,-0.07158,-0.2416,-1.481,0.0005236,0.2609,0.01144,-0.0009501,0.07915
15.13,0.7412,-0.07654,-0.2397,-1.486,0.0005082,0.2611,0.01057,-0.000552,0.05634
15.15,0.8195,-0.08198,-0.2377,-1.492,0.0004246,0.2612,0.008863,-0.0002721,0.03312
15.18,0.8978,-0.0878,-0.2354,-1.499,0.0003739,0.2612,0.005407,-0.0001088,0.01221
15.2,0.9762,-0.09393,-0.233,-1.505,0.0004372,0.2612,9.651e-06,-3.513e-06,-8.939e-05
15.22,1.055,-0.1003,-0.2305,-1.512,0.0005046,0.2611,1.867e-07,-5.77e-08,-0.0001012
15.25,1.133,-0.1068,-0.2281,-1.519,0.0005776,0.2609,-1.91e-06,-9.143e-08,-9.923e-05
15.28,1.212,-0.1135,-0.2258,-1.525,0.0006455,0.2606,-4.83e-06,9.495e-09,-9.858e-05
15.3,1.291,-0.1202,-0.224,-1.531,0.0006482,0.2604,-7.367e-06,9.217e-08,-9.746e-05
15.32,1.37,-0.1269,-0.2227,-1.537,0.0006167,0.2604,-9.288e-06,5.319e-08,-9.597e-05
15.35,1.449,-0.1335,-0.2221,-1.542,0.0006043,0.2603,-1.091e-05,2.522e-08,-9.458e-05
15.38,1.528,-0.1401,-0.2225,-1.546,0.000631,0.2604,-1.185e-05,-7.719e-08,-9.278e-05
15.4,1.607,-0.1466,-0.2238,-1.55,0.0006524,0.2605,-1.212e-05,-2.071e-07,-9.109e-05
15.43,1.686,-0.1529,-0.226,-1.554,0.000674,0.2606,-1.179e-05,1.077e-07,-8.97e-05
15.45,1.765,-0.1591,-0.2289,-1.557,0.0006736,0.2607,-1.057e-05,1.771e-07,-8.864e-05
15.47,1.843,-0.165,-0.2322,-1.56,0.0006838,0.2608,-8.267e-06,1.276e-07,-8.855e-05
15.5,1.922,-0.1707,-0.2354,-1.564,0.0007033,0.2609,-5.347e-06,2.07e-07,-8.968e-05
15.53,2.001,-0.1759,-0.2383,-1.568,0.0007164,0.261,-1.389e-06,7.506e-08,-9.022e-05
15.55,2.08,-0.1808,-0.2407,-1.571,0.0007307,0.261,2.569e-06,7.924e-09,-9.129e-05
15.57,2.159,-0.185,-0.2427,-1.575,0.0007469,0.261,7.03e-06,-5.921e-08,-9.296e-05
15.6,2.237,-0.1885,-0.2445,-1.579,0.000794,0.261,1.156e-05,4.646e-10,-9.401e-05
15.63,2.316,-0.191,-0.2461,-1.583,0.0008552,0.2611,1.574e-05,-2.99e-09,-9.51e-05
15.65,2.394,-0.1928,-0.2477,-1.588,0.0008948,0.261,1.989e-05,4.927e-08,-9.595e-05
15.68,2.473,-0.1939,-0.2491,-1.593,0.0009077,0.2609,2.419e-05,1.228e-07,-9.631e-05
15.7,2.552,-0.1946,-0.2504,-1.598,0.000875,0.2605,2.795e-05,8.979e-08,-9.611e-05
15.72,2.631,-0.1949,-0.2516,-1.603,0.0008802,0.2601,-2.325e-05,-1.719e-06,0.0007374
15.75,2.71,-0.195,-0.2526,-1.608,0.0008853,0.2599,-0.0002197,1.45e-05,0.003199
15.78,2.788,-0.195,-0.2534,-1.611,0.0008563,0.2605,-0.0004518,7.021e-05,0.005479
15.8,2.867,-0.1946,-0.2541,-1.613,0.0008112,0.2607,-0.001111,0.0002497,0.01076
15.82,2.946,-0.1937,-0.2547,-1.614,0.0008364,0.2607,-0.00568,0.002828,0.0233
15.85,3.025,-0.1926,-0.2553,-1.614,0.0008855,0.2604,-0.01528,0.0049,0.03988
15.88,3.103,-0.1912,-0.2557,-1.614,0.0009074,0.26,-0.03192,0.005661,0.05764
15.9,-3.102,-0.1896,-0.2559,-1.614,0.0008982,0.2597,-0.05592,0.005957,0.07467
15.93,-3.024,-0.1879,-0.2561,-1.614,0.000911,0.2592,-0.08646,0.006002,0.0911
15.95,-2.946,-0.1865,-0.2561,-1.616,0.000915,0.2591,-0.1173,0.009116,0.1086
15.97,-2.868,-0.1844,-0.2562,-1.618,0.0009129,0.2592,-0.1495,0.01032,0.1233
16,-2.79,-0.1816,-0.2562,-1.62,0.0008931,0.2594,-0.182,0.0107,0.1354
16.02,-2.713,-0.178,-0.2564,-1.624,0.0009176,0.2596,-0.2124,0.01338,0.1493
16.05,-2.635,-0.1741,-0.2568,-1.629,0.0009462,0.26,-0.2425,0.01441,0.1602
16.07,-2.557,-0.1702,-0.257,-1.634,0.0009554,0.2603,-0.2471,0.01194,0.1555
16.1,-2.479,-0.166,-0.2572,-1.64,0.0009576,0.2607,-0.2472,0.009851,0.1567
16.13,-2.401,-0.1619,-0.2573,-1.647,0.001,0.261,-0.2366,0.008855,0.1616
16.15,-2.322,-0.158,-0.2574,-1.654,0.001016,0.2611,-0.2136,0.008477,0.1498
16.18,-2.244,-0.1543,-0.2573,-1.661,0.001028,0.2611,-0.184,0.008349,0.1386
16.2,-2.166,-0.1507,-0.2573,-1.668,0.001068,0.2609,-0.1542,0.005116,0.1266
16.23,-2.087,-0.1472,-0.2572,-1.676,0.001078,0.2604,-0.1229,0.003811,0.117
16.25,-2.008,-0.143,-0.2571,-1.683,0.001087,0.2601,-0.09133,0.003293,0.1092
16.27,-1.929,-0.1373,-0.257,-1.689,0.001108,0.2601,-0.06647,0.003753,0.1109
16.3,-1.85,-0.1325,-0.257,-1.694,0.001118,0.2601,-0.04135,0.004139,0.1225
16.32,-1.771,-0.1286,-0.257,-1.698,0.001126,0.2602,-0.03688,0.004332,0.1467
16.35,-1.692,-0.1253,-0.257,-1.701,0.001134,0.2603,-0.03154,0.004066,0.1626
16.38,-1.614,-0.1223,-0.257,-1.704,0.001148,0.2604,-0.02867,0.003874,0.1672
16.4,-1.535,-0.1194,-0.2571,-1.707,0.001152,0.2605,-0.03079,0.004679,0.1737
16.43,-1.457,-0.1163,-0.2572,-1.71,0.001159,0.2606,-0.03479,0.004896,0.1918
16.45,-1.378,-0.1129,-0.2572,-1.714,0.001175,0.2608,-0.03924,0.004727,0.2148
16.48,-1.3,-0.1091,-0.2572,-1.718,0.00119,0.2609,-0.04348,0.00437,0.239
16.5,-1.222,-0.1051,-0.2572,-1.722,0.001204,0.261,-0.04734,0.003946,0.2628
16.52,-1.143,-0.101,-0.2572,-1.726,0.001227,0.261,-0.04633,0.000107,0.276
16.55,-1.065,-0.09664,-0.2571,-1.73,0.001217,0.261,-0.04481,-0.002154,0.2784
16.57,-0.9863,-0.09205,-0.257,-1.735,0.001188,0.2611,-0.04388,-0.003124,0.2758
16.6,-0.9078,-0.0875,-0.257,-1.74,0.001174,0.2611,-0.0432,-0.003541,0.2717
16.63,-0.8293,-0.08262,-0.2568,-1.745,0.001186,0.2611,-0.04292,-0.003811,0.273
16.65,-0.7507,-0.07739,-0.2564,-1.75,0.001214,0.2609,-0.04224,-0.005212,0.2891
16.68,-0.672,-0.07255,-0.256,-1.756,0.001241,0.2605,-0.03932,-0.00606,0.2933
16.7,-0.5933,-0.06775,-0.2554,-1.761,0.001259,0.2601,-0.03499,-0.006219,0.2817
16.73,-0.5145,-0.06319,-0.2546,-1.765,0.001282,0.2594,-0.03115,-0.005786,0.2632
16.75,-0.4359,-0.06002,-0.2545,-1.769,0.001284,0.2594,-0.02778,-0.005624,0.2523
16.77,-0.3572,-0.05858,-0.2546,-1.77,0.00127,0.2596,-0.02447,-0.005515,0.244
16.8,-0.2786,-0.05817,-0.2547,-1.771,0.001251,0.2597,-0.02187,-0.005447,0.2377
16.82,-0.2001,-0.05824,-0.2546,-1.771,0.001239,0.2597,-0.01978,-0.005414,0.2326
16.85,-0.1217,-0.05818,-0.2545,-1.771,0.001246,0.2595,-0.01786,-0.005358,0.2275
16.88,-0.04327,-0.05785,-0.254,-1.771,0.001264,0.2592,-0.01652,-0.0053,0.2232
16.9,0.03512,-0.05738,-0.2534,-1.772,0.001273,0.2588,-0.01556,-0.005258,0.2197
16.93,0.1133,-0.05688,-0.2524,-1.773,0.001284,0.2587,-0.01411,-0.005177,0.214
16.95,0.1919,-0.05664,-0.251,-1.775,0.001292,0.2589,-0.00965,-0.005366,0.2122
16.98,0.2698,-0.05703,-0.2495,-1.777,0.001295,0.2591,-0.007071,-0.005469,0.2026
17,0.3475,-0.05824,-0.248,-1.78,0.001301,0.2595,-0.005509,-0.00509,0.1829
